Trace_ID,User_Query,Full_Bot_Trace_Summary,Open_Code_Notes
SYN003,i'm looking for dairy free indian food under 1 hour,,
SYN006,need a simple low FODMAP recipe using pantry staples for dinner,,
SYN009,need a beginner-friendly dish without heavy sauces also it gotta be low fodmap pls,,
SYN012,need to impress my friends with a complex dish like a keto casserole something with meat and veggies would be great,,
SYN013,KETO meals are my jam! can u suggest a high effort  recipe that utilizes general pantry ingredients 🍳?,,
SYN017,Do you have any ideas for a salmon recipe with herbs that's ready in under 30 mins?,,
SYN018,Looking for quick salmon dinner ideas with lemon and herbs pls!,,
SYN020,got any pescatarian dishes I can make with salmon that won't take long thx!,,
SYN037,need a nut free recipe w/ coconut milk currypaste veggies,,
SYN041,Looking for a soy-free advanced recipe I can take my time with 🤔 Like any cuisine that's complex and makes a statement,,
SYN052,What’s a beginner-friendly keto dish I can whip up without italian flavors?,,
SYN054,looking for an easy low-effort keto meal i can make with pantry ingredients,,
SYN059,i need a low carb Mex meal for dinner in 45 mins,,
SYN062,"need a recipe for low sodium japanese food, i’m kinda experienced but not a pro, just want something tasty and not too easy",,
SYN065,pls suggest a low sodium Japanese recipe for dinner tonight! I’m ready to put a bit of effort into it but keep it flexible on time 😄,,
SYN072,"looking for a fast dish with coconut milk, curry paste and veggies that's dairy free",,
SYN080,pls suggest a medium effort kosher recipe thx! 🍽️,,
SYN114,Paleo recipe is what i need! Pls give me something decent that uses general pantry ingredients and takes a bit of effort to make. Thanks!,,
SYN119,Diabetic recipe that's easy to make and uses pantry staples?,,
SYN122,need a simple keto recipe quick! 😋,,
SYN130,pls suggest a challenging halal indian recipe using my pantry stuff 🙏,,
SYN134,easy quick glutenfree meal 30 mins!,,
SYN149,Looking for a halal meal in under 30 min using lentils and spinach - any ideas?,,
SYN155,"how do i make something really quick and keto with cauliflower, cheese and bacon? Italian style if possible",,
SYN157,Looking for a SIMPLE dairy-free dinner idea that doesn't take too long and no indian food plsss!,,
SYN159,i want to cook something dairy free but not indian and would be easy for a beginner like me maybe from common pantry stuff,,
SYN174,"looking for an easy japanese fish dish, like a pescatarian recipe that only takes about 30-60 mins to prepare, thanks!",,
SYN178,lookin for a fast chicken recipe w herbs lemon low sodium,,
SYN179,"Quick chicken w/herbs & lemon, no salt really fast",,
SYN182,i wAnt a hard vegan recipe from mexican cuisine but have no specific ingredients in mind.,,
SYN188,i need a low-effort kosher recipe that’s italian and can be ready in 30 to 60 minutes 🕒,,
SYN189,what's an easy italian recipe that’s kosher? i just want to use what’s in my pantry and i’m not that skilled,,
SYN192,Any quick low-carb meals? I have eggplant and ground turkey to use!,,
SYN194,Got some eggplant and ground turkey and need a fast low-carb recipe 🥘 help plz!,,
SYN209,"looking for a pescatarian recipe that includes salmon, broccoli, and quinoa in a japanese way, moderate effort and around 30-60 mins to cook",,
SYN210,"need a japaneese dish with salmon and broccoli! wanna use quinoa too, not too difficult, time 30 to 60 mins 🐟🥦🍚",,
SYN233,"need a diabetic-friendly recipe that includes spinach, tomatoes & lentils plz! 🥬🍅 also wanna make sure it’s not sweet & i’m okay doing some intermediate cooking! really flexible on time! thanks!",,
SYN236,can you suggest a quick dairy free recipe using coconut milk and curry powder?,,
SYN248,"i'm trying to make an advanced keto dish, can you give me a detailed mexican recipe using general pantry items?",,
SYN249,"need a recipe for a super involved mexican keto meal that uses regular pantry stuff, got all day to cook!",,
